email;name;telephone;id;date_naissance;ville;adresse;chiffre;carte_bancaire;autre
"0534E+13;""""""imagine"""""""""""""""
"05046E+18;""""""truth"""""""""""""""
"43942E+14;""""""believe"""""""""""""""
"24827E+15;""""""power"""""""""""""""
"8395E+11;""""""never"""""""""""""""
"01112E+13;""""""or"""""""""""""""
"45991E+15;""""""mention"""""""""""""""
"56416E+15;""""""either"""""""""""""""
"8412E+11;""""""once"""""""""""""""
"01191E+15;""""""high"""""""""""""""
"07582E+15;""""""then"""""""""""""""
"1037E+12;""""""admit"""""""""""""""
"87403E+18;""""""culture"""""""""""""""
"71286E+15;""""""impact"""""""""""""""
"80029E+14;""""""claim"""""""""""""""
"59078E+15;""""""coach"""""""""""""""
"54802E+15;""""""over"""""""""""""""
"09729E+15;""""""let"""""""""""""""
"41575E+18;""""""eight"""""""""""""""
"15274E+18;""""""before"""""""""""""""
