Customer ID;Name;Age;Gender;Address;Email;Phone Number;Account Type;Account Balance;Registration Date
 IN 59379;blakeerik@yahoo.com;423-511-6155x94078;Checking;74413.5;24/04/2021
 NH 83821;mitchellclark@yahoo.com;001-192-832-7648x350;Checking;14814.25;14/03/2022
 NM 12416;hernandezernest@henderson.info;480.184.5146x27048;Checking;59458.76;09/10/2021
 AR 32072;dennislisa@cannon.net;(489)638-3465;Checking;10275.83;24/12/2023
 DC 95312;kristenaguirre@gmail.com;165-667-0106;Checking;56563.26;20/02/2023
 IL 53066;nicholasgalloway@house-glover.com;(872)343-0980x50097;Checking;45471.7;12/07/2024
 VT 41681;randy47@hickman-walls.com;991.183.8425x135;Checking;76121.93;04/09/2022
 SC 35101;rebecca01@hotmail.com;(400)524-2786x80112;Savings;34684.8;22/11/2024
 APO AP 98736;michellecherry@keith.com;001-563-421-6073x3754;Checking;95764.09;10/03/2022
 PA 67534;mlam@williams-graham.net;-5662;Checking;10181.84;18/11/2022
""
 NH 88001;usalazar@hotmail.com;(872)774-3487x34714;Checking;73243.45;31/03/2022
 AK 75957;wsmith@yahoo.com;001-668-893-7346x70656;Savings;8801.22;27/08/2021
 WA 71203;jeffrey10@herring.com;+1-232-719-3745x299;Savings;58157.86;23/03/2021
 SD 45226;gshort@yu-reid.info;001-262-849-8776x945;Checking;66465.07;04/05/2022
 VA 53772;hannahbrewer@yahoo.com;014.363.4957x885;Checking;85676.45;14/11/2023
 IN 47802;alexis82@williams-brown.com;001-271-094-7775x204;Savings;28519.39;25/04/2024
 WA 13507;josephmiller@thompson.com;6797403447;Checking;37647.92;09/11/2020
 LA 58061;sbarker@bender-mason.info;190.659.4013x990;Savings;70480.21;18/07/2022
 WV 72603;qmiller@wilson-barton.net;8760385977;Checking;53879.85;09/09/2020
